0.010 3.2000  3198.21
0.010 3.2600  3203.29
0.010 3.3200  3219.57
0.010 3.3800  3379.36
0.010 3.4400  3211.48
0.010 3.5000  3272.55
0.010 3.5600  3314.35
0.010 3.6200  3368.01
0.010 3.6800  3402.80
0.010 3.7400  3424.70
0.010 3.8000  3454.39
0.010 3.8600  3464.42
0.010 3.9200  3474.73
0.010 3.9800  3481.28
0.010 4.0400  3469.62
0.010 4.1000  3505.02
0.010 4.1600  3552.39
0.010 4.2200  3593.78
0.010 4.2800  3635.94
0.010 4.3400  3657.21
0.010 4.4000  3687.35
0.010 4.4600  3704.67
0.010 4.5200  3710.84
